name,price,category,brand
pneu aro com lonas leve colson,32.9,acess_construcao,COLSON
caixa para massa de plastico litros reforcada dimax,24.9,acess_construcao,DIMAX BR
esquadro em aco polegadas com cabo de plastico preto dimax,18.9,acess_construcao,DIMAX BR
cimento forte multiuso cpii cimento forte,34.89,argamassas_rejuntes,CIMENTO FORTE
linha polietileno mmxm para pedreiro lisa nove,5.9,acess_construcao,NOVE54
tapume ecologico cmxmetros verde onduline,79.9,acess_construcao,ONDULINE
esquadro em aco polegadas com cabo de aluminio dimax,26.9,acess_construcao,DIMAX BR
eletrodo de ferro pacote com pecas e vonder,14.9,aco,VONDER
regua em aluminio para pedreiro nove,71.9,acess_construcao,NOVE54
balde de plastico litros reforcado com alca metalica dimax,15.9,acess_construcao,DIMAX BR
cabo de aco galvanizado alma de fibra vonder,21.99,aco,VONDER
corda de polipropileno trancada preta cordaville,259.9,acess_construcao,CORDAVILLE
lona plastica metros compact amarelo roma,118.9,lonas,ROMA
cabo de aco galvanizado plastificado alma de fibra vonder,1.49,aco,VONDER
corda de polipropileno trancada para varal branca cordaville,9.9,acess_construcao,CORDAVILLE
tela plastica para fachada metros verde roma,899.9,acess_construcao,ROMA
lona plastica metros para construcao preto roma,589.9,acess_construcao,ROMA
po de brita saco granumix,7.9,argamassas_rejuntes,GRANUMIX
lona plastica metros compact azul roma,58.99,lonas,ROMA
areia vegetal saco granumix av,9.9,argamassas_rejuntes,GRANUMIX
areia industrial grossa saco granumix,9.9,argamassas_rejuntes,GRANUMIX
saibro saco granumix sb,7.9,argamassas_rejuntes,GRANUMIX
tela plastica para fachada metros branco roma,899.9,acess_construcao,ROMA
corda de polipropileno trancada camuflada cordaville,253.9,acess_construcao,CORDAVILLE
corda de polipropileno trancada oceano cordaville,153.9,acess_construcao,CORDAVILLE
corda de polipropileno trancada branca cordaville,97.9,acess_construcao,CORDAVILLE
eletrodo em aco vonder,31.9,aco,VONDER
carro de mao em metal super completo laranja metalosa,309.9,acess_construcao,METALOSA
lona compact para construcao civil preta roma,15.9,lonas,ROMA
lona compacta para construcao civil roma,78.9,lonas,ROMA
carro de mao em metal galvanizado completo metalosa,315.9,acess_construcao,METALOSA
carro de mao em metal pop pneu macico preto metalosa,195.9,acess_construcao,METALOSA
carro de mao em metal master completo azul metalosa,299.9,acess_construcao,METALOSA
arame em aco recozido bwg dimax,17.89,aco,DIMAX
arame em aco recozido torcido bwg dimax,45.9,aco,DIMAX
carro de mao em aco metalforte completo cinza metalosa,259.9,acess_construcao,METALOSA
kit de vedacao com pecas para telha colonial e plan concreto preconvc,29.9,acess_construcao,PRECONVC
roda pneumatica com rolete colson,142.9,acess_construcao,COLSON
pneu aro lonas preto colson,68.99,acess_construcao,COLSON
pneu para carro de mao preto metalosa,59.9,acess_construcao,METALOSA
pneu aro com lonas preto colson,124.9,acess_construcao,COLSON
carro de mao em aco com cacamba de plastico completo verde metalosa,259.9,acess_construcao,METALOSA
roda completa com pneu em pvc diametro de polegada flex border fb pneu,49.9,acess_construcao,FB PNEU
kit parafuso speedfix para telha pecas vermelho onduline,25.9,acess_construcao,ONDULINE
lona compacta para construcao roma,69.9,lonas,ROMA
camara de ar pneumatica aro preto colson,19.9,acess_construcao,COLSON
lona de polietileno laranja nove,58.9,lonas,NOVE54
roda poliuretano macico para carrinhos com bucha e rolete colson,195.9,acess_construcao,COLSON
lona compacta para construcao preta roma,37.9,lonas,ROMA
kit parafuso speedfix para telha pecas verde onduline,26.9,acess_construcao,ONDULINE
kit vedacao pecas para fixacao de telha colonial e plan ceramica precon,31.9,acess_construcao,PRECONVC
balde plastico litros multiuso extra forte preto atlas,19.9,acess_construcao,ATLAS
espuma xxcm pedreiro pinceis roma,4.99,acess_construcao,ROMA PINCÉIS
peneira para arroz e areia com aro de madeira momfort,39.9,acess_construcao,MOMFORT
carro de mao aco braco metalico pneu e camara azul tramontina,245.9,acess_construcao,TRAMONTINA
lona de polietileno azul nove,58.9,lonas,NOVE54
aro de aco rolete polegada axion,24.9,complementos,AXION
cal sckg hidratado para reboco mascote,15.9,argamassas_rejuntes,MASCOTE
regua aluminio metros pedreiro momfort,71.9,acess_construcao,MOMFORT
peneira redonda com aro de pvc feijao momfort,39.9,acess_construcao,MOMFORT
lona polietileno ilhoses laranja nove,23.9,lonas,NOVE54
carro de mao cj braco metalico extra forte tramontina,395.9,acess_construcao,TRAMONTINA
caixa plastica litros para massa pinceis atlas,38.9,acess_construcao,ATLAS
lona polietileno ilhoses azul nove,39.9,lonas,NOVE54
tubo soldavel em pvc marrom fortlev,145.9,tubos,FORTLEV
bomba submersa vibratoria sappo ecco plus w v anauger,429.9,bombas_filtros,ANAUGER
