name,price,category,brand,target
aro de aco rolete polegada axion,24.9,complementos,AXION,2
luva soldavel com rosca em pvc pol fortlev,1.89,conexoes,FORTLEV,3
te reducao esgoto sn em pvc branco fortlev,16.9,conexoes,FORTLEV,3
te esgoto sn em pvc branco fortlev,2.59,conexoes,FORTLEV,3
ralo sifonado quadrado em pvc xxmm branco fortlev,10.9,conexoes,FORTLEV,3
reducao excentrica esgoto sn em pvc branco fortlev,7.9,conexoes,FORTLEV,3
luva simples esgoto sn em pvc branco fortlev,1.2,conexoes,FORTLEV,3
juncao reducao simples esgoto sn em pvc branco fortlev,25.9,conexoes,FORTLEV,3
juncao simples esgoto sn em pvc branco fortlev,20.9,conexoes,FORTLEV,3
joelho esgoto sn em pvc branco fortlev,2.2,conexoes,FORTLEV,3
luva de correr para tubo esgoto sn em pvc branco fortlev,12.9,conexoes,FORTLEV,3
joelho esgoto com visita sn em pvc branco fortlev,19.9,conexoes,FORTLEV,3
curva curta esgoto sn em pvc branco fortlev,19.9,conexoes,FORTLEV,3
curva longa esgoto sn em pvc branco fortlev,39.9,conexoes,FORTLEV,3
cap esgoto sn em pvc branco fortlev,2.3,conexoes,FORTLEV,3
bucha de reducao longa esgoto em pvc branco fortlev,1.89,conexoes,FORTLEV,3
te soldavel com rosca em pvc pol fortlev,2.89,conexoes,FORTLEV,3
te soldavel em pvc com bucha de latao pol azul fortlev,7.7,conexoes,FORTLEV,3
joelho soldavel em pvc com bucha de latao pol azul fortlev,5.9,conexoes,FORTLEV,3
luva soldavel em pvc com bucha de latao pol azul fortlev,4.3,conexoes,FORTLEV,3
te de reducao soldavel em pvc fortlev,9.6,conexoes,FORTLEV,3
uniao soldavel em pvc fortlev,7.5,conexoes,FORTLEV,3
luva de reducao soldavel em pvc fortlev,1.4,conexoes,FORTLEV,3
luva de correr para tubo soldavel em pvc fortlev,19.9,conexoes,FORTLEV,3
te soldavel em pvc fortlev,0.79,conexoes,FORTLEV,3
