name,price,category,brand
Telha Ecológica Clássica Fit 200x75cm Vermelho ONDULINE / REF. P3804BR,85.9,TELHAS > TELHAS DE FIBRA VEGETAL,ONDULINE
Pneu 325 Aro 8 com 2 Lonas Leve COLSON / REF. 7951,32.9,MÁQUINAS PARA CONSTRUÇÃO > CARRO DE MÃO,COLSON
Caixa para Massa de Plástico 20 Litros Reforçada DIMAX / REF. 4011038,24.9,ACESSÓRIOS PARA CONSTRUÇÃO > ACESSÓRIOS PARA CONSTRUÇÃO DE USO GERAL,DIMAX BR
"Esquadro em Aço 14 Polegadas x35,5cm com Cabo de Plástico Preto DIMAX / REF. 9141038",18.9,ACESSÓRIOS PARA CONSTRUÇÃO > ACESSÓRIOS PARA CONSTRUÇÃO DE USO GERAL,DIMAX BR
"Esquadro em Aço 12 Polegadas x30,4cm com Cabo de Plástico Preto DIMAX / REF. 9121038",17.9,ACESSÓRIOS PARA CONSTRUÇÃO > ACESSÓRIOS PARA CONSTRUÇÃO DE USO GERAL,DIMAX BR
Telha Ecológica Stilo 3D 96cmx2Metros Vermelho ONDULINE / REF. P72A4BR,109.9,TELHAS > TELHAS DE FIBRA VEGETAL,ONDULINE
Cimento Forte Multiuso CPII 50kg CIMENTO FORTE / REF. 51150028,34.89,MATERIAIS DE CAMPO > CIMENTO,CIMENTO FORTE
"Linha Polietileno 0,80mmx50m para Pedreiro Lisa NOVE54 / REF. 3313010050",5.9,ACESSÓRIOS PARA CONSTRUÇÃO > ACESSÓRIOS PARA CONSTRUÇÃO DE USO GERAL,NOVE54
Tapume Ecológico 97cmx2Metros Verde ONDULINE / REF. P1306BR,79.9,ACESSÓRIOS PARA CONSTRUÇÃO > ACESSÓRIOS PARA CONSTRUÇÃO DE USO GERAL,ONDULINE
"Esquadro em Aço 14 Polegadas x35,5cm com Cabo de Alumínio DIMAX / REF. 9145038",26.9,ACESSÓRIOS PARA CONSTRUÇÃO > ACESSÓRIOS PARA CONSTRUÇÃO DE USO GERAL,DIMAX BR
"Esquadro em Aço 10 Polegadas x25,4cm com Cabo de Plástico Preto DIMAX / REF. 9101038",15.9,ACESSÓRIOS PARA CONSTRUÇÃO > ACESSÓRIOS PARA CONSTRUÇÃO DE USO GERAL,DIMAX BR
Kit Parafuso 10 Peças para Fixação de Telha Colonial 3.1/2 PRECON / REF. 23001019,16.9,TELHAS > ACESSÓRIOS PARA TELHAS,PRECONVC
Telha Ecológica Stilo 3D 96cmx2Metros Verde ONDULINE / REF. P72A6BR,99.9,TELHAS > TELHAS DE FIBRA VEGETAL,ONDULINE
Telha Ecológica Clássica Fit 75cmx2Metros Verde ONDULINE / REF. P3804BR,89.9,TELHAS > TELHAS DE FIBRA VEGETAL,ONDULINE
